"","trip_id","pattern_id"
"1","2233398",1
"2","2233399",1
"3","2233400",1
"4","2233401",1
"5","2233402",1
"6","2233403",1
"7","2233404",1
"8","2233405",1
"9","2233406",1
"10","2233407",1
"11","2233408",1
"12","2233409",1
"13","2233410",1
"14","2233411",1
"15","2233412",1
"16","2233413",1
"17","2233414",1
"18","2233415",1
"19","2233416",1
"20","2233417",1
"21","2233418",1
"22","2233419",1
"23","2233420",1
"24","2233421",1
"25","2233422",1
"26","2233423",1
"27","2233424",1
"28","2233425",1
"29","2233426",1
"30","2233427",1
"31","2233428",1
"32","2233429",1
"33","2233430",1
"34","2233431",1
"35","2233432",1
"36","2233433",1
"37","2233434",2
"38","2233435",2
"39","2233436",2
"40","2233437",2
"41","2233438",2
"42","2233439",2
"43","2233440",2
"44","2233441",2
"45","2233442",2
"46","2233443",2
"47","2233444",2
"48","2233445",2
"49","2233446",2
"50","2233447",2
"51","2233448",2
"52","2233449",2
"53","2233450",2
"54","2233451",2
"55","2233452",2
"56","2233453",2
"57","2233454",2
"58","2233455",2
"59","2233456",2
"60","2233457",2
"61","2233458",2
"62","2233459",2
"63","2233460",2
"64","2233461",2
"65","2233462",2
"66","2233463",2
"67","2233464",2
"68","2233465",2
"69","2233466",2
"70","2233467",2
"71","2233468",2
"72","2233469",2
"73","2233470",1
"74","2233471",1
"75","2233472",1
"76","2233473",1
"77","2233474",1
"78","2233475",1
"79","2233476",1
"80","2233477",1
"81","2233478",1
"82","2233479",1
"83","2233480",1
"84","2233481",1
"85","2233482",1
"86","2233483",1
"87","2233484",1
"88","2233485",1
"89","2233486",1
"90","2233487",1
"91","2233488",1
"92","2233489",1
"93","2233490",1
"94","2233491",1
"95","2233492",1
"96","2233493",1
"97","2233494",1
"98","2233495",1
"99","2233496",1
"100","2233497",1
"101","2233498",1
"102","2233499",1
"103","2233500",1
"104","2233501",1
"105","2233502",1
"106","2233503",1
"107","2233504",1
"108","2233505",1
"109","2233506",1
"110","2233507",1
"111","2233508",2
"112","2233509",2
"113","2233510",2
